cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
1	α And	00 08 23.17	29 05 27.0	2.07	-0.3	97	B9p
1	β And	01 09 43.80	35 37 15.0	2.07	-1.86	199	M0IIIvar
1	γ1 And	02 03 53.92	42 19 47.5	2.1	-3.08	355	K3IIb
1	δ And	00 39 19.60	30 51 40.4	3.27	0.81	101	K3III...
1	Andromeda Galaxy	00 42 44.31	41 16 09.4	3.44	9999	2540000	9999
1	51 And	01 37 59.50	48 37 42.6	3.59	-0.04	174	K3III
1	ο And	23 01 55.25	42 19 33.5	3.62	-3.01	692	B6pv SB
1	λ And	23 37 33.71	46 27 33.0	3.81	1.75	84	G8III-IV
1	μ And	00 56 45.10	38 29 57.3	3.86	0.75	136	A5V
1	ζ And	00 47 20.39	24 16 02.6	4.08	0.35	181	K1II
1	υ And	01 36 47.98	41 24 23.0	4.1	3.45	44	F8V
1	κ And	23 40 24.44	44 20 02.3	4.15	0.57	170	B9IVn
1	φ And	01 09 30.12	47 14 30.6	4.26	-2.51	736	B7III
1	ι And	23 38 08.18	43 16 05.1	4.29	-1.65	502	B8V
1	π And	00 36 52.84	33 43 09.7	4.34	-2.18	656	B5V
1	ε And	00 38 33.50	29 18 44.5	4.34	0.77	169	G5III...
1	η And	00 57 12.43	23 25 03.9	4.4	0.04	243	G8III-IV
1	σ And	00 18 19.71	36 47 07.2	4.51	1.33	141	A2V
1	ν And	00 49 48.83	41 04 44.2	4.53	-2.06	679	B5V SB
1	7 And	23 12 32.92	49 24 21.5	4.53	2.58	80	F0V
1	θ And	00 17 05.54	38 40 54.0	4.61	0.16	253	A2V
1	3 And	23 04 10.83	50 03 06.1	4.64	0.94	179	K0III
1	65 And	02 25 37.40	50 16 43.2	4.73	-0.39	345	K4III
1	58 And	02 08 29.15	37 51 33.1	4.78	0.86	198	A5IV-V
1	8 And	23 17 44.62	49 00 55.0	4.82	-1.69	655	M2III
1	ω And	01 27 39.09	45 24 25.0	4.83	2.57	92	F5IV
1	γ2 And	02 03 54.70	42 19 51.0	4.84	9999	9999	B8V
1	60 And	02 13 13.34	44 13 54.1	4.84	-1.32	556	K4III
1	ξ And	01 22 20.39	45 31 43.5	4.87	0.98	195	K0III-IV
1	τ And	01 40 34.80	40 34 37.6	4.96	-1.64	681	B8III
